_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
367,Joseph Brant Sr P.S.,459,86.9,1.1,90.8,1.1,43.76704404,-79.17549755
368,Joseph Howe Sr P.S.,392,91.3,1.5,97.4,1.5,43.78580785,-79.13729821
369,Josyf Cardinal Slipyj C.S.,395,84.8,7.8,84.8,7.8,43.6594752,-79.5660254
370,Joyce P.S.,154,98.7,0,95.5,0,43.70977539,-79.46375749
371,Kapapamahchakwe - Wandering Spirit School,153,68,7.8,73.9,8.5,43.67914023,-79.33663606
372,Karen Kain School of The Arts,172,86.6,8.7,90.7,8.7,43.631123530000004,-79.50020735
373,Keele Street Jr P.S.,347,90.2,4,92.2,4,43.65750747,-79.46159657
374,Keelesdale Jr P.S.,78,96.2,0,97.4,0,43.6869571,-79.47694631
375,Kennedy P.S.,415,97.6,0,96.4,0,43.81883592,-79.30818052
376,Kensington Community School,95,90.5,3.2,91.6,3.2,43.65639782,-79.40573152
377,Kew Beach Jr P.S.,312,94.9,3.8,94.6,3.8,43.66846424,-79.30272732
378,Kimberley Jr P.S.,160,100,0,100,0,43.68261997,-79.29912788
379,King Edward Jr & Sr P.S.,499,90.6,2.6,95,2.6,43.65824412,-79.40740893
380,King George Jr P.S.,123,95.9,2.4,94.3,2.4,43.6631627,-79.48688675
381,Kingslake P.S.,128,94.5,2.3,91.4,2.3,43.7848105,-79.34572893
382,Kingsview Village Jr School,260,83.8,2.3,87.7,2.3,43.69786666,-79.55078913
383,Kipling C.I.,410,75.4,0.2,89.5,0.2,43.68528812,-79.56235372
384,Knob Hill P.S.,366,93.2,0.3,93.4,0.3,43.74529228,-79.24978503
385,Lakeshore C.I.,603,81.6,2.5,94,2.5,43.60156342,-79.51916064
386,Lamberton P.S.,189,92.1,1.6,94.7,1.6,43.7536543,-79.50282449
387,Lambton Kingsway JMS,463,91.6,3.9,94.2,3.5,43.65865722,-79.50931481
388,Runnymede C.I.,522,85.4,1.7,96.7,1.7,43.66353227,-79.48981138
389,Lambton Park Community School,79,72.2,0,74.7,0,43.66757598,-79.49830749
390,L'amoreaux C.I.,443,81.3,1.4,90.7,1.4,43.80291777,-79.31807375
391,Lanor JMS,218,94.5,3.7,95.4,3.7,43.60966673,-79.54476956
392,Lawrence Heights Middle School,148,89.9,2.7,92.6,2.7,43.72083225,-79.45107725
393,Lawrence Park C.I.,1178,85.3,2.4,97.3,2.3,43.72222271,-79.41043908
394,Leaside High School,958,86.5,1.5,97.7,1.5,43.71112409,-79.37269411
395,Ledbury Park EMS,384,94.3,1.3,94.3,1.3,43.72739047,-79.42732263
396,Lescon P.S.,112,84.8,2.7,84.8,2.7,43.78084349,-79.35749461
397,Leslieville Jr P.S.,231,95.7,0.9,97.4,0.9,43.66732077,-79.33240772
398,Lester B Pearson C.I.,1291,88,0.7,98.3,0.7,43.80333392,-79.22539867
399,Lester B Pearson Elementary,385,94.8,2.3,97.9,2.1,43.79231944,-79.38746232
400,Lillian P.S.,138,98.6,0,96.4,0,43.79782137,-79.4103985
401,Lord Dufferin Jr & Sr P.S.,306,95.8,0.7,96.7,0.7,43.66082454,-79.36695506
402,Lord Lansdowne Jr P.S.,174,95.4,3.4,96,3.4,43.65895304,-79.40190985
403,Lord Roberts Jr P.S.,252,96.4,0.4,96.8,0.4,43.74142643,-79.2636597
404,Loretto Abbey Catholic S.S.,904,86.7,1.5,97.7,1.5,43.74129632,-79.41065656
405,Loretto College School,418,84.9,0.5,96.9,0.5,43.67573671,-79.44324695
406,Lucy Maud Montgomery P.S.,133,95.5,0,98.5,0,43.79691679,-79.20936572
407,Lucy McCormick Sr School,51,33.3,5.9,80.4,5.9,43.66463261,-79.46017997
408,Lynngate Jr P.S.,104,92.3,2.9,93.3,2.9,43.77646901,-79.30071632
409,Lynnwood Heights Jr P.S.,101,92.1,2,93.1,2,43.79658396,-79.29051029
410,Macklin P.S.,340,95,0.6,95.9,0.6,43.82199191,-79.26769422
411,Madonna Catholic S.S.,634,84.2,0.2,92.9,0.2,43.72951508,-79.4774808
412,Malvern C.I.,1107,85.2,2.8,96.1,2.8,43.68291415,-79.29293632
413,Malvern Jr P.S.,236,96.2,0.8,95.8,0.8,43.79783946,-79.23325194
414,Manhattan Park Jr P.S.,65,90.8,3.1,89.2,3.1,43.753354,-79.29530112
415,Maple Leaf P.S.,160,91.3,4.4,93.1,4.4,43.71485064,-79.49027522
416,Maplewood High School,93,86,5.4,94.6,4.3,43.75889785,-79.19489463
417,Marc Garneau C.I.,1629,83.2,0.6,95,0.6,43.70897569,-79.33496795
418,Market Lane Jr & Sr P.S.,191,91.6,1.6,92.1,1.6,43.64985038,-79.3647414
419,Marshall McLuhan Catholic S.S.,1032,87.3,0.7,96.1,0.7,43.70760025,-79.40973516
420,Martingrove C.I.,1088,86.8,0.9,97.1,0.9,43.67338277,-79.56073964
421,Mary Shadd P.S.,310,94.5,0.6,96.1,0.6,43.8143957,-79.21832404
422,Mary Ward Catholic S.S.,1002,87.5,1.2,96.9,1.1,43.81575342,-79.30394007
