school_name,enrolled_population,dtp_coverage_rate_percent,dtp_religious_exemption_rate_percent,mmr_coverage_rate_percent,mmr_religious_exemption_rate_percent
Ecole elementaire Toronto Ouest,156,80.8,2.6,90.4,2.6
Ecole Secondaire etienne-Brule,281,81.9,2.5,92.9,2.5
Ecole Secondaire Toronto Ouest,153,85,2.6,92.8,2.6
Edgewood P.S.,119,98.3,0,98.3,0
EEC Du Sacre-Coeur-Toronto,69,88.4,0,89.9,0
EEC Georges-etienne-Cartier,233,88.8,0.9,91,0.9
EEC Notre-Dame-De-Grce - Toronto,105,85.7,1.9,86.7,1.9
EEC Sainte-Madeleine,156,89.1,0.6,90.4,0.6
EEC Sainte-Marguerite-D'Youville,215,87.4,3.7,86.5,3.7
EEC Saint-Jean-De-Lalande,76,88.2,2.6,88.2,2.6
EEC Saint-Michel-Toronto,100,87,1,90,1
EEC Saint-Noel-Chabanel-Toronto,98,85.7,1,85.7,1
Eglinton Jr P.S.,280,94.3,2.1,93.6,2.1
EIC Monseigneur-De-Charbonnel,62,88.7,3.2,90.3,3.2
EIC Pere-Philippe-Lamarche,74,93.2,0,93.2,0
EIC Saint-Frere-Andre,74,87.8,4.1,87.8,4.1
Elia Middle School,290,88.3,0.3,94.5,0.3
Elizabeth Simcoe Jr P.S.,203,94.1,5.4,94.6,5.4
Elkhorn P.S.,243,96.7,2.5,96.3,2.5
Ellesmere-Statton P.S.,460,91.5,0.9,94.8,0.9
Elmbank JMA,245,95.1,2.4,95.5,2.4
Elmlea Jr School,229,88.6,3.1,89.1,3.1
Emery C.I.,484,85.5,1.2,93.8,1.2
Emily Carr P.S.,229,96.9,1.3,97.4,1.3
Epiphany of Our Lord Catholic Academy,141,81.6,0,86.5,0
Equinox Holistic Alternative,132,78,22,78,22
Ernest P.S.,69,95.7,1.4,91.3,1.4
ESC Monseigneur-de-Charbonnel,140,81.4,2.1,96.4,2.1
ESC Pere-Philippe-Lamarche,81,80.2,0,93.8,0
ESC Saint-Frere-Andre,142,81,3.5,94.4,3.5
Essex Jr & Sr P.S.,208,85.6,3.4,90.9,3.4
Etienne Brule Jr School,105,96.2,2.9,94.3,2.9
Etobicoke C.I.,957,86.4,1.8,96.6,1.8
Etobicoke School of The Arts,929,80.1,4.3,93.4,4.3
Etobicoke Year Round Alternative Centre,26,88.5,3.8,96.2,3.8
F H Miller Jr P.S.,77,92.2,2.6,93.5,2.6
Fairbank JMS,230,87.4,3,91.7,3
Fairbank Memorial Community School,78,92.3,0,93.6,0
Fairglen Jr P.S.,236,97.5,0,99.2,0
Fairmount P.S.,308,95.1,1.6,96.4,1.6
Father Henry Carr Catholic S.S.,850,83.8,0.5,94.5,0.5
Father John Redmond Catholic S.S.,1187,83,3,94.4,3
Father Serra C.S.,386,88.9,3.4,92.7,3.4
Faywood Arts-Based Curriculum School,324,91.4,4.6,88.9,4.6
Fenside P.S.,124,91.9,0.8,94.4,0.8
Fern Avenue Jr & Sr P.S.,545,92.5,2.6,96.5,2.6
Finch P.S.,151,92.7,2.6,92.7,2.6
Firgrove P.S.,208,93.3,0,94.2,0
Fisherville Sr P.S.,159,79.2,1.3,83,1.3
Fleming P.S.,192,98.4,0,99.5,0
Flemington P.S.,133,97.7,0,96.2,0
Forest Hill C.I.,928,87,1.3,96,1.3
Forest Hill Jr & Sr P.S.,675,95,1.6,95,1.6
Forest Manor P.S.,393,93.9,0.3,94.7,0.3
Francis Libermann Catholic H.S.,878,86,0.8,95.4,0.8
Frank Oke S.S.,74,82.4,2.7,97.3,2.7
Frankland Community School,233,93.6,3.4,94,3.4
Galloway Road P.S.,148,89.2,1.4,92.6,1.4
Garden Avenue Jr P.S.,172,97.7,2.3,95.9,2.3
Gateway P.S.,522,93.9,1.7,93.1,1.7
General Brock P.S.,302,94,1.7,94,1.7
General Crerar P.S.,285,93.3,2.1,96.1,2.1
