school_name,enrolled_population,dtp_coverage_rate,mmr_coverage_rate
CHURCHILL PUBLIC SCHOOL,165,90.3,93.3
CITY SCHOOL,104,77.9,89.4
CITY VIEW ALTERNATIVE SENIOR SCHOOL,54,77.8,77.8
CLAIREVILLE JUNIOR SCHOOL,119,92.4,91.6
CLAIRLEA PUBLIC SCHOOL,359,93.6,95.3
CLAUDE WATSON SCHOOL FOR THE ARTS,300,95.3,96.7
CLIFFSIDE PUBLIC SCHOOL,134,98.5,97.8
CLIFFWOOD PUBLIC SCHOOL,142,97.9,97.2
CLINTON STREET JUNIOR PUBLIC SCHOOL,234,88,91.5
COLLEGE FRANCAIS ELEMENTAIRE,115,71.3,76.5
COLLEGE FRANCAIS SECONDAIRE,165,86.1,89.1
CONTACT ALTERNATIVE SCHOOL,70,67.1,95.7
CORDELLA JUNIOR PUBLIC SCHOOL,64,92.2,93.8
CORNELL JUNIOR PUBLIC SCHOOL,375,97.3,97.9
CORVETTE JUNIOR PUBLIC SCHOOL,273,92.3,94.9
COSBURN MIDDLE SCHOOL,642,91.9,94.4
COTTINGHAM JUNIOR PUBLIC SCHOOL,79,93.7,96.2
COURCELETTE PUBLIC SCHOOL,188,89.4,91.5
CRESCENT TOWN ELEMENTARY SCHOOL,180,95.6,93.9
CRESTHAVEN PUBLIC SCHOOL,151,96,94.7
CRESTVIEW PUBLIC SCHOOL,124,97.6,96
CUMMER VALLEY MIDDLE SCHOOL,425,92.9,92
D A MORRISON MIDDLE SCHOOL,426,86.4,91.8
DA VINCI SCHOOL,34,55.9,55.9
DALLINGTON PUBLIC SCHOOL,201,89.6,91
ESC PERE-PHILIPPE-LAMARCHE,77,90.9,96.1
DANFORTH COLLEGIATE INSTITUTE AND TECHNICAL SCHOOL,982,88.9,95.8
DANFORTH GARDENS PUBLIC SCHOOL,313,92.3,92.3
DANTE ALIGHIERI ACADEMY,841,86.7,92.3
D'ARCY MCGEE CATHOLIC SCHOOL,178,97.8,97.8
DAVID AND MARY THOMSON COLLEGIATE INSTITUTE,1003,87.9,93.2
DAVID HORNELL JUNIOR SCHOOL,106,88.7,87.7
DAVID LEWIS PUBLIC SCHOOL,302,91.4,92.7
DAVISVILLE JUNIOR PUBLIC SCHOOL,228,88.2,89.9
DAYSTROM PUBLIC SCHOOL,186,94.1,95.7
DEER PARK JUNIOR AND SENIOR PUBLIC SCHOOL,355,85.9,87.9
DELPHI SECONDARY ALTERNATIVE SCHOOL,93,83.9,94.6
DELTA SENIOR ALTERNATIVE SCHOOL,60,88.3,88.3
DENLOW PUBLIC SCHOOL,225,96,96
DENNIS AVENUE COMMUNITY SCHOOL,47,87.2,89.4
DERRYDOWN PUBLIC SCHOOL,167,95.8,94.6
DEWSON STREET JUNIOR PUBLIC SCHOOL,243,88.5,90.9
DIEFENBAKER ELEMENTARY SCHOOL,199,92,93.5
DIXON GROVE JUNIOR MIDDLE SCHOOL,576,89.6,91.3
DON MILLS COLLEGIATE INSTITUTE,971,88.6,95
DON MILLS MIDDLE SCHOOL,410,90.2,93.2
DON VALLEY JUNIOR HIGH SCHOOL,367,94,95.6
DONVIEW MIDDLE HEALTH AND WELLNESS ACADEMY,356,83.7,87.4
DONWOOD PARK JUNIOR PUBLIC SCHOOL,375,95.5,95.2
DORSET PARK PUBLIC SCHOOL,151,94.7,94
DOVERCOURT PUBLIC SCHOOL,248,89.5,91.5
DOWNSVIEW PUBLIC SCHOOL,95,90.5,91.6
DOWNSVIEW SECONDARY SCHOOL,583,79.9,87
DOWNTOWN ALTERNATIVE SCHOOL,52,92.3,90.4
DOWNTOWN VOCAL MUSIC ACADEMY OF TORONTO,47,87.2,89.4
