school_name,enrolled_population,dtp_coverage_rate_percent,mmr_coverage_rate_percent
Ecole elementaire Laure-Riese,174,78.7,78.2
Ecole elementaire Mathieu-Da-Costai,102,76.5,85.3
Ecole elementaire Micheline-Saint-Cyr,49,81.6,71.4
Ecole elementaire Paul-Demers,66,53,60.6
Ecole elementaire Pierre-Elliott-Trudeau,213,89.2,86.9
Ecole elementaire Toronto Ouest,156,80.8,90.4
Ecole Secondaire etienne-Brule,281,81.9,92.9
Ecole Secondaire Toronto Ouest,153,85,92.8
Edgewood P.S.,119,98.3,98.3
EEC Du Sacre-Coeur-Toronto,69,88.4,89.9
EEC Georges-etienne-Cartier,233,88.8,91
EEC Notre-Dame-De-Grce - Toronto,105,85.7,86.7
EEC Sainte-Madeleine,156,89.1,90.4
EEC Sainte-Marguerite-D'Youville,215,87.4,86.5
EEC Saint-Jean-De-Lalande,76,88.2,88.2
EEC Saint-Michel-Toronto,100,87,90
EEC Saint-Noel-Chabanel-Toronto,98,85.7,85.7
Eglinton Jr P.S.,280,94.3,93.6
EIC Monseigneur-De-Charbonnel,62,88.7,90.3
EIC Pere-Philippe-Lamarche,74,93.2,93.2
EIC Saint-Frere-Andre,74,87.8,87.8
Elia Middle School,290,88.3,94.5
Elizabeth Simcoe Jr P.S.,203,94.1,94.6
Elkhorn P.S.,243,96.7,96.3
Ellesmere-Statton P.S.,460,91.5,94.8
Elmbank JMA,245,95.1,95.5
Elmlea Jr School,229,88.6,89.1
Emery C.I.,484,85.5,93.8
Emily Carr P.S.,229,96.9,97.4
Epiphany of Our Lord Catholic Academy,141,81.6,86.5
Equinox Holistic Alternative,132,78,78
Ernest P.S.,69,95.7,91.3
ESC Monseigneur-de-Charbonnel,140,81.4,96.4
ESC Pere-Philippe-Lamarche,81,80.2,93.8
ESC Saint-Frere-Andre,142,81,94.4
Essex Jr & Sr P.S.,208,85.6,90.9
Etienne Brule Jr School,105,96.2,94.3
Etobicoke C.I.,957,86.4,96.6
Etobicoke School of The Arts,929,80.1,93.4
Etobicoke Year Round Alternative Centre,26,88.5,96.2
F H Miller Jr P.S.,77,92.2,93.5
Fairbank JMS,230,87.4,91.7
Fairbank Memorial Community School,78,92.3,93.6
Fairglen Jr P.S.,236,97.5,99.2
Fairmount P.S.,308,95.1,96.4
Father Henry Carr Catholic S.S.,850,83.8,94.5
Father John Redmond Catholic S.S.,1187,83,94.4
Father Serra C.S.,386,88.9,92.7
Faywood Arts-Based Curriculum School,324,91.4,88.9
Fenside P.S.,124,91.9,94.4
Fern Avenue Jr & Sr P.S.,545,92.5,96.5
Finch P.S.,151,92.7,92.7
Firgrove P.S.,208,93.3,94.2
Fisherville Sr P.S.,159,79.2,83
Fleming P.S.,192,98.4,99.5
Flemington P.S.,133,97.7,96.2
Forest Hill C.I.,928,87,96
Forest Hill Jr & Sr P.S.,675,95,95
Forest Manor P.S.,393,93.9,94.7
Francis Libermann Catholic H.S.,878,86,95.4
Frank Oke S.S.,74,82.4,97.3
Frankland Community School,233,93.6,94
Galloway Road P.S.,148,89.2,92.6
Garden Avenue Jr P.S.,172,97.7,95.9
Gateway P.S.,522,93.9,93.1
General Brock P.S.,302,94,94
General Crerar P.S.,285,93.3,96.1
General Mercer Jr P.S.,130,90.8,90.8
George Anderson P.S.,91,100,96.7
George B Little P.S.,294,95.2,96.3
George Harvey C.I.,401,80,85.8
George P Mackie Jr P.S.,77,93.5,93.5
George Peck P.S.,187,90.4,93.6
George R Gauld Jr School,75,96,100
George S Henry Academy,338,81.1,92.3
George Syme Community School,226,92,93.8
George Webster Elementary,538,87.7,90
Georges Vanier S.S.,747,76.2,86.1
Givins/Shaw Jr P.S.,194,92.8,93.3
Glamorgan Jr P.S.,327,97.6,96.9
Gledhill Jr P.S.,258,96.1,96.9
Glen Ames Sr P.S.,414,90.8,97.6
Glen Park P.S.,307,96.4,96.1
Glen Ravine Jr P.S.,179,98.9,98.9
Glenview Sr P.S.,768,90.9,98
Golf Road Jr P.S.,190,98.4,99.5
Gordon A Brown Middle School,368,90.5,94
Gosford P.S.,150,95.3,98
Gracedale P.S.,363,93.9,93.7
Gracefield P.S.,140,90.7,94.3
Greenholme JMS,234,96.2,98.7
Greenwood S.S.,123,61.8,64.2
Grenoble P.S.,623,95.5,95.5
Grey Owl Jr P.S.,143,91.6,91.6
Guildwood Jr P.S.,63,92.1,92.1
Gulfstream P.S.,435,91.3,94
H A Halbert Jr P.S.,136,95.6,96.3
H J Alexander Community School,304,91.8,91.4
Harbord C.I.,1014,84.4,96.1
Harrison P.S.,102,97.1,97.1
Harwood P.S.,130,90.8,96.2
Hawthorne II Bilingual Alternative Jr,119,93.3,92.4
Heather Heights Jr P.S.,118,94.1,92.4
Henry Hudson Senior P.S.,287,92.7,96.9
Henry Kelsey Senior P.S.,298,94,98.3
Heritage Park P.S.,237,95.4,95.4
Heydon Park S.S.,91,75.8,97.8
High Park Alternative Jr,96,82.3,84.4
Highcastle P.S.,225,97.8,97.3
Highfield Jr School,381,93.4,93.4
Highland Creek P.S.,138,97.1,96.4
Highland Heights Jr P.S.,115,96.5,96.5
Highland Jr High School,482,94,96.9
Highview P.S.,101,89.1,90.1
Hillcrest Community School,224,94.2,94.2
Hillmount P.S.,121,93.4,94.2
Hilltop Middle School,558,91.9,94.3
Hodgson Sr P.S.,528,93.9,95.6
Hollycrest Middle School,475,90.7,94.3
Hollywood P.S.,224,97.3,97.3
Holy Angels C.S.,368,88,90.2
Holy Child C.S.,227,87.7,91.2
Holy Cross C.S.,239,87.4,88.3
Holy Family C.S.,167,82,83.2
Holy Name C.S.,234,87.6,91
Holy Rosary C.S.,193,87.6,87.6
Holy Spirit C.S.,324,84.3,85.8
Horizon Alternative Sr School,67,85.1,91
Howard Jr P.S.,328,94.8,94.8
Humber Summit Middle School,450,88.4,90.7
Humber Valley Village JMS,291,91.1,92.8
Humbercrest P.S.,494,94.5,96.4
Humberside C.I.,1195,84.1,96.2
Humberwood Downs JMA,554,95.8,96.4
Humewood Community School,410,93.7,95.1
Hunter's Glen Jr P.S.,302,92.1,94.4
Huron Street Jr P.S.,202,93.6,95.5
Immaculate Conception C.S.,340,92.4,93.2
Immaculate Heart of Mary C.S.,120,90.8,90.8
Indian Road Crescent Jr P.S.,204,94.1,95.1
Inglenook Community School,50,78,88
Inglewood Heights Jr P.S.,140,91.4,90.7
Ionview P.S.,262,93.9,94.7
Iroquois Jr P.S.,240,99.2,99.2
Island Public/Natural Science School,154,95.5,96.1
Islington JMS,342,92.1,93
J B Tyrrell Sr P.S.,415,90.8,96.4
J G Workman P.S.,136,93.4,94.1
J R Wilcox Community School,186,94.6,93.5
Jack Miner Sr P.S.,197,93.4,97.5
Jackman Avenue Jr P.S.,414,94.4,94.4
James Cardinal McGuigan Catholic H.S.,794,76.8,85.1
James Culnan C.S.,346,91.3,93.6
James S Bell JMS,318,91.2,92.8
Jarvis C.I.,638,86.8,95.5
Jean Vanier Catholic S.S.,821,82.7,91.6
Jesse Ketchum Jr & Sr P.S.,345,89.6,90.7
John A Leslie P.S.,383,93,93.7
John Buchan Sr P.S.,184,90.2,94
John D Parker Jr School,253,97.6,96.4
John English JMS,698,91.7,93.6
John Fisher Jr P.S.,292,92.8,94.5
John G Althouse Middle School,480,93.1,96
John G Diefenbaker P.S.,171,94.7,96.5
John McCrae P.S.,404,93.3,94.8
John Polanyi C.I.,743,79.1,87.9
John Ross Robertson Jr P.S.,372,96.2,96.2
John Wanless Jr P.S.,443,98.9,98.6
Joseph Brant Sr P.S.,459,86.9,90.8
Joseph Howe Sr P.S.,392,91.3,97.4
Josyf Cardinal Slipyj C.S.,395,84.8,84.8
Joyce P.S.,154,98.7,95.5
Kapapamahchakwe - Wandering Spirit School,153,68,73.9
Karen Kain School of The Arts,172,86.6,90.7
Keele Street Jr P.S.,347,90.2,92.2
Keelesdale Jr P.S.,78,96.2,97.4
Kennedy P.S.,415,97.6,96.4
Kensington Community School,95,90.5,91.6
Kew Beach Jr P.S.,312,94.9,94.6
Kimberley Jr P.S.,160,100,100
King Edward Jr & Sr P.S.,499,90.6,95
King George Jr P.S.,123,95.9,94.3
Kingslake P.S.,128,94.5,91.4
Kingsview Village Jr School,260,83.8,87.7
Kipling C.I.,410,75.4,89.5
Knob Hill P.S.,366,93.2,93.4
Lakeshore C.I.,603,81.6,94
Lamberton P.S.,189,92.1,94.7
Lambton Kingsway JMS,463,91.6,94.2
Runnymede C.I.,522,85.4,96.7
Lambton Park Community School,79,72.2,74.7
L'amoreaux C.I.,443,81.3,90.7
Lanor JMS,218,94.5,95.4
Lawrence Heights Middle School,148,89.9,92.6
Lawrence Park C.I.,1178,85.3,97.3
Leaside High School,958,86.5,97.7
Ledbury Park EMS,384,94.3,94.3
Lescon P.S.,112,84.8,84.8
Leslieville Jr P.S.,231,95.7,97.4
Lester B Pearson C.I.,1291,88,98.3
Lester B Pearson Elementary,385,94.8,97.9
Lillian P.S.,138,98.6,96.4
Lord Dufferin Jr & Sr P.S.,306,95.8,96.7
Lord Lansdowne Jr P.S.,174,95.4,96
Lord Roberts Jr P.S.,252,96.4,96.8
Loretto Abbey Catholic S.S.,904,86.7,97.7
Loretto College School,418,84.9,96.9
Lucy Maud Montgomery P.S.,133,95.5,98.5
Lucy McCormick Sr School,51,33.3,80.4
Lynngate Jr P.S.,104,92.3,93.3
Lynnwood Heights Jr P.S.,101,92.1,93.1
Macklin P.S.,340,95,95.9
Madonna Catholic S.S.,634,84.2,92.9
Malvern C.I.,1107,85.2,96.1
Malvern Jr P.S.,236,96.2,95.8
Manhattan Park Jr P.S.,65,90.8,89.2
Maple Leaf P.S.,160,91.3,93.1
Maplewood High School,93,86,94.6
Marc Garneau C.I.,1629,83.2,95
Market Lane Jr & Sr P.S.,191,91.6,92.1
Marshall McLuhan Catholic S.S.,1032,87.3,96.1
Martingrove C.I.,1088,86.8,97.1
Mary Shadd P.S.,310,94.5,96.1
Mary Ward Catholic S.S.,1002,87.5,96.9
Maryvale P.S.,180,89.4,92.8
Mason Road Jr P.S.,209,89.5,90.4
Maurice Cody Jr P.S.,374,96,96.3
McKee P.S.,427,97.2,97.9
McMurrich Jr P.S.,350,92.9,93.1
Meadowvale P.S.,177,91,96
Melody Village Jr School,124,99.2,97.6
Michael Power/St Joseph H.S.,1818,84.6,95.5
Military Trail P.S.,319,90.3,91.2
Mill Valley Jr School,83,92.8,92.8
Milliken P.S.,184,96.2,96.7
Millwood Jr School,241,97.5,97.5
Milne Valley Middle School,575,89.4,93.7
Monarch Park C.I.,775,86.8,96
Monsignor Fraser College - Alternate Study,106,82.1,95.3
Monsignor Fraser College - Isabella,14,42.9,71.4
Monsignor Fraser College - Midland,16,87.5,100
Monsignor Fraser College - Midland North,28,89.3,96.4
Monsignor Fraser College - Midtown,26,69.2,96.2
Monsignor Fraser College - Norfinch,73,80.8,93.2
Monsignor Fraser College - Northeast,64,78.1,92.2
Monsignor Fraser College - Southwest,99,75.8,94.9
Monsignor Fraser College - St. Martin,16,62.5,100
Monsignor John Corrigan C.S.,158,87.3,88
Monsignor Percy Johnson Catholic H.S.,936,84.9,94.7
Montrose Jr P.S.,112,99.1,98.2
Morrish P.S.,235,94.9,97.9
Morse Street Jr P.S.,323,96.6,96.9
Mother Cabrini C.S.,136,87.5,89
Mountview Alternative Jr,63,93.7,93.7
Muirhead P.S.,97,96.9,90.7
Native Learning Centre,15,66.7,86.7
Nativity of Our Lord C.S.,322,86,87.6
Neil McNeil High School,822,87.1,96.4
Nelson Mandela Park P.S.,234,94,94.9
Newtonbrook S.S.,749,80.6,89.9
Niagara Street Jr P.S.,125,92,96.8
Norman Cook Jr P.S.,83,95.2,96.4
Norman Ingram P.S.,109,92.7,94.5
Norseman JMS,581,92.9,96.7
North Agincourt Jr P.S.,267,97.4,98.1
North Albion C.I.,757,85.1,98
North Bendale Jr P.S.,75,90.7,94.7
North Bridlewood Jr P.S.,136,94.1,95.6
North East Year Round Alternative,29,86.2,93.1
North Kipling JMS,469,91.9,94.5
North Preparatory Jr P.S.,122,95.1,96.7
North Toronto C.I.,1286,86.2,97
North West Year Round Alternative,14,71.4,100
Northern S.S.,1678,85.3,95.8
Northlea EMS,560,95.9,97.7
Northview Heights S.S.,1490,84.6,93.7
Norway Jr P.S.,185,94.6,96.2
Notre Dame Catholic H.S.,656,84.6,96.5
Oakdale Park Middle School,417,91.6,95.2
Oakridge Jr P.S.,265,88.7,86
Oakwood C.I.,359,83.3,94.7
Oasis Alternative,72,75,88.9
O'Connor P.S.,80,86.3,91.3
Ogden Jr P.S.,116,96.6,94.8
Orde Street Jr P.S.,243,96.3,92.6
Oriole Park Jr P.S.,156,96.2,95.5
Ossington/Old Orchard Jr P.S.,188,95.7,95.2
St Joachim C.S.,217,91.7,92.6
Our Lady of Fatima C.S.,558,85.8,86.7
Our Lady of Grace C.S.,194,87.1,93.3
Our Lady of Guadalupe C.S.,121,83.5,84.3
Our Lady of Lourdes C.S.,383,86.7,87.5
Our Lady of Peace C.S.,458,88.9,93
